"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-05","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23100503","","","","0"
"2016-06","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23095441","","","","0"
"2016-07","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23478311","","","","0"
"2016-08","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23381005","","","","0"
"2016-09","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23138243","","","","0"
"2016-10","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23587640","","","","0"
"2016-11","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23915548","","","","0"
"2016-12","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23244424","","","","0"
"2016-01","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","23090433","","","","0"
"2016-02","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","22905462","","","","0"
"2016-03","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","22542222","","","","0"
"2016-04","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","22562747","","","","0"
"2016-05","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","22645546","","","","0"
"2016-06","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","22802240","","","","0"
"2016-07","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","23414567","","","","0"
"2016-08","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","23405862","","","","0"
"2016-09","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","23463076","","","","0"
"2016-10","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","24007629","","","","0"
"2016-11","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","24177764","","","","0"
"2016-12","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802726","1.6.2.1","23937091","","","","0"
"2016-01","Canada","2016A000011124","Total inventory, estimated values of total inventory at end of the month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802764","1.7.1.1","71774960","","","","0"
"2016-02","Canada","2016A000011124","Total inventory, estimated values of total inventory at end of the month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802764","1.7.1.1","71948593","","","","0"
"2016-03","Canada","2016A000011124","Total inventory, estimated values of total inventory at end of the month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802764","1.7.1.1","70968684","","","","0"
